timestamp,script,runtime,status
"2026-09-15T23:10:15Z","/f/mfrc/scripts/log-questions.qmd","00:02","success"
"2026-09-15T23:10:17Z","/f/mfrc/scripts/log-issues.qmd","00:02","success"
